,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
67,0.01,TCP ECE,Channel,0.0002344424981091804,0.0,0.0001172212490545902
68,0.1,25th QDS,DST IP,0.0009600352426611659,-0.0007312979627021659,0.0001143686399795
69,1.0,Mean (JIT),SRC IP (JIT),8.574468864761414e-05,0.0001362662583651458,0.00011100547350637998
70,5.0,Weight,Socket,0.00019511994531308654,2.50414793727782e-05,0.00011008071234293237
71,0.01,Median (JIT),SRC IP (JIT),0.00021982975744392803,0.0,0.00010991487872196401
72,3.0,Radius,Socket,0.00027102094297845993,-5.260364686526973e-05,0.0001092086480565951
73,3.0,TCP CWR,Channel,0.00021082183212756903,0.0,0.00010541091606378452
74,5.0,TCP CWR,Channel,0.00020678283957855175,0.0,0.00010339141978927588
75,5.0,Variance,SRC IP,0.00010753248611570552,9.821151953088389e-05,0.00010287200282329471
76,0.1,TCP ACK,Channel,7.1586280643681e-05,0.0001313585325717185,0.00010147240660769976
77,1.0,TCP CWR,Channel,0.0001993170573405512,0.0,9.96585286702756e-05
78,0.1,TCP ECE,DST IP,0.00019857134485449984,0.0,9.928567242724992e-05
79,3.0,TCP Flag count,DST IP,0.00020038709609679388,-5.457994102300958e-06,9.746455099724646e-05
80,0.01,TCP ACK,Channel,0.00021955383565920307,-2.6375582252265327e-05,9.658912670346888e-05
81,1.0,Weight (JIT),SRC IP (JIT),0.00023189413456121272,-4.0718072633078993e-05,9.558803096406686e-05
82,0.1,50th QDS,Channel,4.037457511950183e-05,0.00014822556792129667,9.430007152039925e-05
83,1.0,Weight (JIT),Channel (JIT),0.0002163972217332317,-3.038221411030116e-05,9.300750381146527e-05
84,0.01,Covariance,Socket,2.5183577016486725e-05,0.0001607996782765514,9.299162764651906e-05
85,0.01,TCP CWR,Channel,0.00018581318564879403,0.0,9.290659282439702e-05
86,0.01,TCP ECE,Socket,0.00018272608539665226,0.0,9.136304269832613e-05
87,1.0,Median (JIT),Channel (JIT),0.00012765038012307807,5.288559887057593e-05,9.0267989496827e-05
88,5.0,Median (JIT),SRC IP (JIT),6.944250649227814e-05,0.00010914416488736564,8.929333568982189e-05
89,1.0,Radius,Socket,0.0002956685355128597,-0.00011774058594711365,8.896397478287303e-05
90,5.0,TCP CWR,Socket,0.00017626165299782176,0.0,8.813082649891088e-05
91,3.0,TCP ECE,Socket,0.00017408502303891345,0.0,8.704251151945673e-05
92,0.01,TCP CWR,Socket,0.0001738809087107972,0.0,8.69404543553986e-05
93,0.01,TCP ACK,Socket,-5.055503980841357e-05,0.0002212478806464302,8.534642041900831e-05
94,3.0,Mean,SRC IP,5.4111279498018416e-05,0.00011434752854973461,8.422940402387651e-05
95,0.1,TCP ECE,Socket,0.00016403981513961587,0.0,8.201990756980794e-05
96,0.1,Mean,Channel,8.186407350606974e-05,8.038412045106513e-05,8.112409697856743e-05
97,0.1,Covariance,Socket,0.00015532940037330106,6.302824790444989e-06,8.081611258187302e-05
98,5.0,Variance (JIT),SRC IP (JIT),0.00019253139718407528,-3.166065049703638e-05,8.043537334351944e-05
99,1.0,Variance (JIT),SRC IP (JIT),0.00020065818945753017,-4.292850343595784e-05,7.886484301078616e-05
100,1.0,TCP ACK,Socket,9.558209446422532e-05,6.0774522991806e-05,7.817830872801566e-05
101,5.0,TCP ECE,DST IP,0.00015631695435247656,0.0,7.815847717623828e-05
102,1.0,TCP PSH,Socket,3.657240046319494e-05,0.00011657032188569959,7.657136117444727e-05
103,1.0,TCP ECE,Channel,0.00015216492794313294,0.0,7.608246397156647e-05
104,1.0,TCP CWR,SRC IP,0.00014848903615391308,0.0,7.424451807695654e-05
105,0.01,TCP CWR,DST IP,0.00014815269657246532,0.0,7.407634828623266e-05
106,0.01,Variance (JIT),Channel (JIT),3.356604083580223e-05,0.00011215243031747141,7.285923557663683e-05
107,1.0,TCP CWR,DST IP,0.00014370533617068782,0.0,7.185266808534391e-05
108,5.0,Weight (JIT),Socket (JIT),1.9648480133412733e-05,0.0001206784164467168,7.016344829006476e-05
109,0.1,TCP ACK,DST IP,-6.552040664256274e-07,0.00014017551402803726,6.976015498080581e-05
110,3.0,TCP CWR,Socket,0.00013809000719305607,0.0,6.904500359652804e-05
111,1.0,Variance,SRC IP,3.908501029676928e-05,9.892382591402896e-05,6.900441810539912e-05
112,1.0,TCP Flag count,DST IP,2.820542884949661e-06,0.00013516386533936513,6.89922041121574e-05
113,3.0,Mean,DST IP,7.449461653023196e-05,6.219024340536556e-05,6.834242996779877e-05
114,0.1,TCP Flag count,DST IP,0.00014430733123151602,-1.044892441201914e-05,6.692920340974845e-05
115,5.0,TCP Flag count,SRC IP,0.00023758409699975065,-0.00010629085259299161,6.564662220337952e-05
116,3.0,25th QDS,Socket,1.7322421200545384e-05,0.00011382730002088182,6.55748606107136e-05
117,3.0,TCP CWR,DST IP,0.0001309101573844118,0.0,6.54550786922059e-05
118,1.0,75th QDS,Channel,9.757706718785306e-05,3.163406565843504e-05,6.460556642314405e-05
119,0.1,TCP PSH,Socket,8.608376291635985e-06,0.00011789300957443228,6.325069293303413e-05
120,1.0,Mean,Channel,0.0001246089249964178,4.604412530895139e-08,6.232748456086337e-05
121,1.0,TCP CWR,Socket,0.00012355926165283365,0.0,6.177963082641683e-05
122,3.0,Variance (JIT),DST IP (JIT),5.07401565819117e-06,0.0001165124813682192,6.0793248513205185e-05
123,0.01,50th QDS,Channel,0.00011892006184189865,2.256405799073411e-06,6.058823382048603e-05
124,5.0,Mean,DST IP,3.269856414883668e-05,8.526584972958538e-05,5.898220693921103e-05
125,0.1,Median (JIT),SRC IP (JIT),0.00011584563936542631,1.0055722138158525e-06,5.842560578962108e-05
126,0.1,TCP ACK,Socket,0.00010047356696458136,1.5381596186836462e-05,5.792758157570891e-05
127,3.0,75th QDS,Channel,0.00010574914441702042,7.393435882464317e-06,5.657129014974237e-05
128,5.0,Mean (JIT),SRC IP (JIT),0.0001648184790796612,-5.218532648584273e-05,5.6316576296909236e-05
129,5.0,Mean,Channel,1.7245497026272683e-05,9.423406673525799e-05,5.5739781880765336e-05
130,0.01,TCP PSH,Channel,-1.401234977671632e-05,0.00012514311652756926,5.556538337542647e-05
131,3.0,TCP PSH,Socket,3.2952787302881315e-05,7.721662185874282e-05,5.5084704580812066e-05
132,0.01,TCP FIN,SRC IP,1.7050040140029207e-05,9.219280333012356e-05,5.4621421735076384e-05
133,3.0,Mean (JIT),Channel (JIT),0.0001048214837894727,6.11267905553583e-07,5.271637584751314e-05
134,3.0,Covariance,Channel,3.307491950630884e-05,7.065328124548343e-05,5.1864100375896136e-05
135,3.0,Mean,Channel,1.5618767562262083e-05,8.334305720063518e-05,4.948091238144863e-05
136,3.0,TCP ACK,Socket,4.091942023057894e-05,5.768662971047844e-05,4.930302497052869e-05
137,3.0,TCP Flag count,SRC IP,0.00018367275735505976,-8.722981681966815e-05,4.82214702676958e-05
138,0.1,Variance,Socket,6.779958333566778e-05,2.737300509142982e-05,4.75862942135488e-05
139,3.0,TCP ACK,SRC IP,-7.953276838638088e-06,0.00010204292845225113,4.704482580680652e-05
140,0.01,75th QDS,Channel,2.140581528075543e-05,7.243673787175519e-05,4.6921276576255306e-05
141,5.0,TCP SYN,SRC IP,9.308761371829209e-05,-9.761296362978496e-08,4.649500037733115e-05
142,1.0,50th QDS,Socket,8.607344169552178e-05,6.137040407507592e-06,4.6105241051514686e-05
143,3.0,Weight,Socket,0.00014620522544367653,-5.636973241331286e-05,4.4917746515181835e-05
144,0.01,Mean (JIT),SRC IP (JIT),4.621273768009111e-05,4.286692751278346e-05,4.4539832596437285e-05
145,1.0,TCP SYN,Socket,5.928656000070117e-05,2.9706035904212834e-05,4.4496297952457e-05
146,1.0,50th QDS,Channel,5.828569551651238e-05,3.059647285999231e-05,4.444108418825235e-05
147,1.0,Median (JIT),Socket (JIT),5.195286598003919e-05,3.692724299054555e-05,4.444005448529237e-05
148,0.01,Mean (JIT),DST IP (JIT),8.344807768954449e-05,3.334538280505304e-06,4.339130798502489e-05
149,5.0,25th QDS,SRC IP,8.762825490403842e-05,-3.6594121689046305e-06,4.19844213675669e-05
150,5.0,Mean (JIT),Channel (JIT),6.425690426981937e-05,1.895756380896115e-05,4.160723403939026e-05
151,0.1,TCP ACK,SRC IP,3.531127290899967e-05,4.553106553155468e-05,4.042116922027717e-05
152,0.01,TCP Flag count,DST IP,4.837420397215603e-05,3.209085002115513e-05,4.0232526996655574e-05
153,1.0,Mean,DST IP,4.967330329020902e-05,3.0223207324231447e-05,3.9948255307220234e-05
154,0.01,TCP Flag count,SRC IP,0.00022740696448166907,-0.0001477845648706834,3.981119980549283e-05
155,5.0,Variance,Socket,8.024243750506525e-05,-3.1199108245969065e-06,3.856126334023417e-05
156,0.01,Variance (JIT),DST IP (JIT),8.138888257471268e-05,-5.6211319866582615e-06,3.788387529402721e-05
157,5.0,Magnitude,Socket,0.00010700929996724002,-3.220593605834765e-05,3.7401681954446184e-05
158,5.0,Pearson CC,Socket,4.13911341555353e-05,3.2973199519480674e-05,3.7182166837507985e-05
159,0.01,50th QDS,DST IP,9.111425291107745e-05,-1.963584686518041e-05,3.573920302294852e-05
160,0.1,Weight,DST IP,0.00018937154326617673,-0.00011806694409884027,3.565229958366823e-05
161,0.1,Weight (JIT),DST IP (JIT),8.510331970638562e-05,-1.4673560177777442e-05,3.521487976430409e-05
162,5.0,Mean,Socket,4.538417156924787e-05,2.475219667513196e-05,3.506818412218992e-05
163,5.0,TCP ECE,Socket,6.988830197384082e-05,0.0,3.494415098692041e-05
164,0.01,Mean,Channel,8.737372810191211e-05,-1.8149271007713427e-05,3.461222854709934e-05
165,0.1,Magnitude,Channel,0.00010454621759481929,-3.554898596849414e-05,3.4498615813162576e-05
166,0.1,Mean,DST IP,2.5905543378534415e-05,4.26162208585308e-05,3.4260882118532605e-05
167,3.0,25th QDS,SRC IP,5.568482542566675e-05,1.2584381123382013e-05,3.413460327452438e-05
168,0.01,Pearson CC,Channel,6.236996729232019e-05,4.830021338414186e-06,3.3599994315367185e-05
169,1.0,Variance (JIT),Socket (JIT),9.826742037226074e-05,-3.344072841819256e-05,3.241334597703409e-05
170,5.0,75th QDS,DST IP,4.470221092080299e-05,1.9925951988068908e-05,3.231408145443595e-05
171,0.01,Variance,DST IP,8.495548438209857e-05,-2.07721573778826e-05,3.209166350210799e-05
172,0.1,Variance (JIT),SRC IP (JIT),7.170321952374658e-05,-7.620901549290112e-06,3.2041158987228236e-05
173,1.0,TCP SYN,Channel,7.31410949016376e-05,-9.229021096121909e-06,3.1956036902757844e-05
174,1.0,TCP PSH,Channel,1.7714973251831144e-05,4.556412480333313e-05,3.163954902758213e-05
175,5.0,TCP CWR,SRC IP,6.211721024571621e-05,0.0,3.1058605122858105e-05
176,0.01,Variance (JIT),SRC IP (JIT),7.005349358528187e-05,-9.057805179117145e-06,3.0497844203082365e-05
177,0.01,TCP SYN,SRC IP,5.8533231864346574e-05,1.8991968415997271e-06,3.021621435297315e-05
178,0.1,Mean,SRC IP,0.00012482333678475244,-6.484351709145905e-05,2.9989909846646694e-05
179,1.0,Variance,DST IP,2.700782790131309e-05,3.208730005129173e-05,2.954756397630241e-05
180,0.1,75th QDS,Socket,0.00012482689501547466,-6.585681816498188e-05,2.948503842524639e-05
181,5.0,Variance (JIT),DST IP (JIT),0.0001211773569923575,-6.318712000742707e-05,2.899511849246522e-05
182,1.0,TCP FIN,SRC IP,5.591649850503281e-05,1.7579422875849191e-06,2.8837220396308864e-05
183,1.0,Mean (JIT),Socket (JIT),3.97310708186879e-05,1.7292925203397412e-05,2.8511998011042655e-05
184,0.1,Pearson CC,Channel,7.389772985089062e-05,-1.697702308987388e-05,2.846035338050837e-05
185,1.0,Weight,Socket,0.00012996936148386957,-7.338416935932064e-05,2.829259606227447e-05
186,0.01,Mean,DST IP,3.980712359684584e-05,1.6480514684826308e-05,2.814381914083607e-05
187,5.0,Variance (JIT),Socket (JIT),4.9288123162450046e-05,6.745113238126535e-06,2.801661820028829e-05
188,5.0,TCP PSH,Socket,0.00010112944577169332,-4.530850057177386e-05,2.791047259995973e-05
189,3.0,TCP FIN,DST IP,4.314047916846168e-05,1.2413269889698829e-05,2.7776874529080256e-05
190,0.1,TCP FIN,Socket,2.845314072712794e-05,2.6045422646887647e-05,2.7249281687007795e-05
191,3.0,TCP CWR,SRC IP,5.443720228705339e-05,0.0,2.7218601143526694e-05
192,5.0,Covariance,Socket,7.750264631429209e-05,-2.3335830606300363e-05,2.708340785399586e-05
193,5.0,TCP PSH,SRC IP,3.0361600843415897e-05,2.352794548939391e-05,2.6944773166404904e-05
194,5.0,25th QDS,Channel,4.8053358961340384e-05,5.456628984830713e-06,2.675499397308555e-05
195,0.1,Weight (JIT),Channel (JIT),-7.959567069287904e-06,6.134242187793066e-05,2.6691427404321376e-05
196,0.1,Weight,Channel,2.981761046799656e-05,2.3133976847003206e-05,2.647579365749988e-05
197,3.0,TCP SYN,Socket,3.019205337191303e-05,2.238500121200596e-05,2.6288527291959495e-05
198,5.0,Mean (JIT),DST IP (JIT),2.5472800174484157e-05,2.6671289665941274e-05,2.6072044920212715e-05
199,1.0,25th QDS,Channel,1.1859681199032821e-05,4.006119422355604e-05,2.596043771129443e-05
200,3.0,Variance (JIT),Channel (JIT),8.289031085256697e-05,-3.118874773590646e-05,2.5850781558330256e-05
201,0.01,Variance,Socket,-3.4978594318238165e-06,5.4470364795775054e-05,2.548625268197562e-05
202,0.01,Mean,Socket,-2.0966012469925427e-05,7.177043011857009e-05,2.5402208824322328e-05
203,0.01,Median (JIT),DST IP (JIT),4.3945628050853166e-05,6.7822358352024e-06,2.5363931943027782e-05
204,5.0,TCP SYN,DST IP,6.911971959504326e-05,-2.0550901025232423e-05,2.428440928490542e-05
205,0.01,TCP FIN,Socket,6.174655829286895e-05,-1.438025304776596e-05,2.3683152622551496e-05
206,1.0,Variance (JIT),DST IP (JIT),1.0325101334651237e-05,3.700597087570206e-05,2.3665536105176648e-05
207,5.0,TCP ECE,Channel,4.71964136851886e-05,0.0,2.35982068425943e-05
208,0.1,Weight,SRC IP,4.958563445817287e-05,-2.9177548749216496e-06,2.333393979162561e-05
209,3.0,Mean (JIT),Socket (JIT),5.889903344300379e-05,-1.326545884305476e-05,2.2816787299974515e-05
210,0.01,TCP RST,Channel,0.0006551865260079544,-0.0006096058698207627,2.2790328093595874e-05
