,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
272,0.1,25th QDS,Channel,2.1781731421106143e-05,-6.378645478690826e-06,7.701542971207658e-06
273,5.0,TCP ACK,Socket,7.351128968297759e-05,-5.9041640707434616e-05,7.234824487771488e-06
274,3.0,Mean (JIT),DST IP (JIT),3.239989184579833e-05,-1.8067084939258635e-05,7.166403453269847e-06
275,0.01,Median (JIT),Socket (JIT),1.9138367538046552e-05,-5.385564192816428e-06,6.876401672615062e-06
276,3.0,TCP SYN,DST IP,6.604756238926106e-05,-5.232422374423535e-05,6.861669322512854e-06
277,0.1,50th QDS,SRC IP,2.1899308241144243e-05,-8.79246589951799e-06,6.553421170813126e-06
278,0.1,Mean (JIT),Socket (JIT),7.509952854421898e-06,5.476664970278368e-06,6.493308912350133e-06
279,3.0,TCP SYN,Channel,1.273593073726248e-05,1.576644337434765e-07,6.446797585502978e-06
280,1.0,TCP FIN,Channel,2.351638437412034e-05,-1.092585981511583e-05,6.2952622795022556e-06
281,0.1,Mean (JIT),Channel (JIT),4.854666579164955e-05,-3.609106885597016e-05,6.227798467839695e-06
282,0.01,50th QDS,Socket,1.4397993203411348e-05,-2.2428973149429234e-06,6.077547944234212e-06
283,1.0,Mean,Socket,3.606655459917369e-05,-2.472296783393398e-05,5.671793382619856e-06
284,3.0,50th QDS,Socket,1.590674011200515e-05,-6.6207823555857324e-06,4.6429788782097085e-06
285,3.0,Median (JIT),Socket (JIT),-2.605522174699901e-05,3.4061639960085025e-05,4.003209106543008e-06
286,3.0,TCP SYN,SRC IP,1.716890137065902e-05,-9.247477533349447e-06,3.960711918654786e-06
287,3.0,50th QDS,SRC IP,3.323153623398887e-05,-2.545346556339636e-05,3.889035335296254e-06
288,5.0,50th QDS,SRC IP,2.6457336516532377e-05,-1.9913296679152617e-05,3.27201991868988e-06
289,3.0,TCP PSH,DST IP,3.4512088622072345e-05,-3.1187628656319924e-05,1.6622299828762103e-06
290,3.0,Pearson CC,Socket,-2.010327014855259e-05,2.2821029682098864e-05,1.3588797667731373e-06
291,0.1,Weight (JIT),Socket (JIT),-0.00015064928553240278,0.00015302224083790062,1.1864776527489222e-06
292,5.0,Pearson CC,Channel,3.1206774436592524e-05,-2.9294797923866775e-05,9.559882563628744e-07
293,0.1,TCP FIN,Channel,-2.6683653548143316e-06,3.84224279516202e-06,5.869387201738443e-07
294,0.1,TCP PSH,Channel,1.5327606379027195e-05,-1.424364229058461e-05,5.419820442212922e-07
295,0.01,Mean,SRC IP,2.1362400759343723e-05,-2.0794873052125567e-05,2.837638536090783e-07
296,5.0,TCP URG,SRC IP,0.0,0.0,0.0
297,1.0,TCP URG,Socket,0.0,0.0,0.0
298,3.0,TCP URG,Channel,0.0,0.0,0.0
299,5.0,TCP URG,DST IP,0.0,0.0,0.0
300,3.0,TCP URG,DST IP,0.0,0.0,0.0
301,0.1,TCP URG,Channel,0.0,0.0,0.0
302,5.0,TCP URG,Channel,0.0,0.0,0.0
303,1.0,TCP URG,DST IP,0.0,0.0,0.0
304,0.01,TCP CWR,SRC IP,0.0,0.0,0.0
305,0.01,TCP URG,Socket,0.0,0.0,0.0
306,0.01,TCP URG,Channel,0.0,0.0,0.0
307,0.01,TCP URG,SRC IP,0.0,0.0,0.0
308,0.1,TCP URG,DST IP,0.0,0.0,0.0
309,5.0,TCP URG,Socket,0.0,0.0,0.0
310,0.01,TCP URG,DST IP,0.0,0.0,0.0
311,0.1,TCP URG,SRC IP,0.0,0.0,0.0
312,0.1,TCP URG,Socket,0.0,0.0,0.0
313,1.0,TCP URG,SRC IP,0.0,0.0,0.0
314,3.0,TCP URG,Socket,0.0,0.0,0.0
315,3.0,TCP ECE,SRC IP,0.0,0.0,0.0
316,3.0,TCP URG,SRC IP,0.0,0.0,0.0
317,5.0,TCP ECE,SRC IP,0.0,0.0,0.0
318,1.0,TCP URG,Channel,0.0,0.0,0.0
319,0.1,Median (JIT),Channel (JIT),-8.725780248563793e-08,0.0,-4.3628901242818966e-08
320,1.0,Magnitude,Socket,2.2773875921827485e-05,-2.307437300523668e-05,-1.5024854170459722e-07
321,3.0,TCP FIN,SRC IP,8.873048918211104e-06,-9.193511898262722e-06,-1.6023149002580936e-07
322,1.0,Pearson CC,Socket,4.012723409279152e-05,-4.105176651640976e-05,-4.6226621180912075e-07
323,1.0,TCP FIN,DST IP,1.0936304472752752e-05,-1.201335957028973e-05,-5.385275487684888e-07
